ID_0@NOMBRE_1@DIAS_2
MA0@MAQUINA PRUEBA@1
MA1@Massey Ferguson@8
MA2@John Deere 1@1
MA3@John Deere 2@1
MA4@John Deere 3@0
MA5@John Deere 4@0
MA6@John Deere Combinad1@0
MA7@John Deere Combinad2@0
MA8@Avion@1
MA9@Tractor@0
MA10@HILUX@0
